PLAB	PostNord Sverige AB	P18	PostNord Parcel (Norden)	SE	AX, DK, FI, FO, GL, IS, NO, SE, SJ
PLAB	PostNord Sverige AB	P19	PostNord MyPack Collect	DK, NO, SE	AX, DK, FI, NO, SE
PLAB	PostNord Sverige AB	P52	PostNord Pallet	DK, FI, NO, SE	AT, AX, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, ME, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA
